
[00:00:00.000 --> 00:00:02.640]  哈喽哈喽
[00:02:52.920 --> 00:02:58.300]  然后包括还有就是可以来我们的直播间担任讲师分享一下你的学习成果
[00:02:58.300 --> 00:03:02.760]  但还有我们就是屏幕上的一个重磅的非常重磅的社区任务
[00:03:02.760 --> 00:03:06.040]  那大家可以就是呃扫码直接扫码
[00:03:06.040 --> 00:03:13.360]  然后领取任务并且进行就是嗯一些就是实操啊这些内容
[00:03:13.360 --> 00:03:16.160]  那我也是有三折叠这些奖品了
[00:03:16.160 --> 00:03:18.200]  目前我们三折叠任务已经上线了
[00:03:18.200 --> 00:03:19.480]  大家可以抓紧时间
[00:03:19.480 --> 00:03:24.460]  好那我们就是回到我们的这个今天的课程内容来
[00:03:24.460 --> 00:03:28.280]  那我先给球奶给大家介绍一下我们的今天的讲师
[00:03:28.280 --> 00:03:32.820]  是就是我们的毕生编译器高级工程师王涛老师
[00:03:32.820 --> 00:03:36.220]  王涛老师也是第一次来我们的这个直播间
[00:03:36.220 --> 00:03:41.080]  嗯我CANN就是很多那个直播间的弹幕里面说
[00:03:41.080 --> 00:03:46.500]  啊今天我们讲师就是是一个颜值非常高的讲师
[00:03:46.500 --> 00:03:51.560]  那我们后面的话也会多多的邀请我们王涛老师来我们直播间的
[00:03:51.560 --> 00:03:57.400]  那我们老师呢今天将会基于样力详解我们的吹腾算子的编译流程
[00:03:57.400 --> 00:04:01.420]  以及如何通过就是我们的这个吹腾算子呢
[00:04:01.420 --> 00:04:05.760]  如何通过编译优化在深层硬件上进行高效的运行
[00:04:05.760 --> 00:04:08.460]  那我们就是欢迎我们的老师开始
[00:04:08.460 --> 00:04:13.420]  哈喽喽大家好
[00:04:13.420 --> 00:04:16.260]  嗯我是本次讲师王涛
[00:04:16.260 --> 00:04:19.220]  啊让我们开始今天的课程
[00:04:19.220 --> 00:04:23.380]  然后今天的话我是
[00:04:23.380 --> 00:04:26.340]  我主要会讲一下那个TratenSend代码的架构
[00:04:26.340 --> 00:04:28.320]  以及对应的功能
[00:04:28.320 --> 00:04:37.120]  然后嗯接下来就是我先介绍一下我们TratenSend的链接
[00:04:37.120 --> 00:04:44.020]  然后我们的开发者可以就是在贡献代码和issue在这个链接中可以进行贡献
[00:04:44.020 --> 00:04:48.360]  然后嗯因为之前的课程应该大家都有了解过Traten语言
[00:04:48.360 --> 00:04:52.820]  然后嗯我这次我就不重点介绍了
[00:04:52.820 --> 00:04:59.620]  就是我觉得大概解释一下Traten语言其实就是嗯最近比较受青睐的一个Python
[00:04:59.620 --> 00:05:00.660]  Python化编程语言
[00:05:00.660 --> 00:05:04.760]  然后开发者只需要中嗯关注它的切块的方式
[00:05:04.760 --> 00:05:07.860]  然后以及关注它切块运行逻辑
[00:05:07.860 --> 00:05:14.620]  然后可以在嗯然后然后呃编辑会根据TratenTraten代码的编辑过程
[00:05:14.620 --> 00:05:17.420]  然后结合硬件特点然后自动化进行优化
[00:05:17.420 --> 00:05:22.680]  然后嗯TratenSend的话是主要是面对生存架构
[00:05:22.680 --> 00:05:27.280]  然后会针对于我们的生存清河进行一系列的编辑化
[00:05:27.280 --> 00:05:32.220]  然后目的是为了让Python代码可以在生存性上高效执行
[00:05:32.220 --> 00:05:40.020]  然后嗯接下来第一点我会先介绍一下TratenSend仓的功能
[00:05:40.020 --> 00:05:46.520]  然后嗯这里这里的话是一个我们TratenSend仓的整体的架构
[00:05:46.520 --> 00:05:53.860]  然后从上到下我会依次介绍一下嗯嗯最上面的话肯定就是我们的Python
[00:05:53.860 --> 00:05:56.060]  Python代码嘛Python Kernel
[00:05:56.060 --> 00:06:04.280]  然后一个开发者写了一个用Python语言嗯并且使用Traten社区提供的一系列OP
[00:06:04.280 --> 00:06:06.780]  然后写了写了一个Python的Kernel
[00:06:06.780 --> 00:06:12.380]  然后它的第一步的话会进会在我们的那个TratenSend的后端
[00:06:12.380 --> 00:06:17.960]  从将一个Python的AST翻译成我们的TTIR
[00:06:17.960 --> 00:06:21.920]  TTIR其实就是一个那个Traten Intermediate Reputation
[00:06:21.920 --> 00:06:24.420]  就是我们这个Traten的自己的一个方言
[00:06:24.420 --> 00:06:29.540]  然后这个这个这一步骤其实大部分都是在我们的在Traten社区
[00:06:29.540 --> 00:06:33.880]  不只是TratenSend社区Traten原生社区它就会有对应的能力
[00:06:33.880 --> 00:06:37.980]  但是TratenSend社区的话它会对呃就是针对于生存
[00:06:37.980 --> 00:06:42.380]  然后会对一些Python接口进行一些语意的补充
[00:06:42.380 --> 00:06:48.160]  或者我们会对Traten的方言进行一个新增的新增的一个新增一个OP
[00:06:48.160 --> 00:06:55.940]  然后方便更更针对于生存清和的然后把对应的语意传给到后面的编辑
[00:06:55.940 --> 00:06:57.200]  然后进行优化
[00:06:57.200 --> 00:07:02.480]  然后当生存那个TTIR之后
[00:07:02.480 --> 00:07:06.840]  然后后面就是我们需要把TTIR转成TT AdaptIR
[00:07:06.840 --> 00:07:12.760]  然后这一步的话其实是一个是TratenSend的一个核心的模块
[00:07:12.760 --> 00:07:18.700]  然后这个模块的话主要是将Traten的方言转换成
[00:07:18.700 --> 00:07:24.160]  像MRIF、Tensor、Linux一系列ML社区的方言
[00:07:24.160 --> 00:07:28.800]  然后这一步的转换除了相同语意的OP需要转换之外
[00:07:28.800 --> 00:07:34.200]  我们还需要对一些复杂的仿存进行分析
[00:07:34.200 --> 00:07:39.520]  然后将一些像一些离散、纺存、间接纺存
[00:07:39.520 --> 00:07:42.680]  然后在这个阶段进行分析
[00:07:42.680 --> 00:07:46.460]  然后无论是性能优化也好
[00:07:46.460 --> 00:07:48.360]  还是功能实现也好
[00:07:48.360 --> 00:07:50.160]  都会在这一步进行转换
[00:07:50.160 --> 00:07:53.360]  然后当生存TratenWTIR之后
[00:07:53.360 --> 00:07:58.960]  我们会将这段IRI作为AscendNPUI入口
[00:07:58.960 --> 00:08:04.360]  然后接下来的所有优化都是在这个SNNPUI模块进行优化的
[00:08:04.360 --> 00:08:08.720]  然后这SNPUI的话其实也是一个非常重的模块
[00:08:08.720 --> 00:08:12.780]  然后它涉及到硬件相关、硬件相关的优化
[00:08:12.780 --> 00:08:16.320]  都是在这些组件进行完成的
[00:08:16.320 --> 00:08:29.400]  然后SNPUI会从TratenWTIR一路转成中间的HTration
[00:08:29.400 --> 00:08:34.280]  然后再转到最后的跟硬件相关的HIVM
[00:08:34.280 --> 00:08:36.720]  HIVM再往下就会生成LVM
[00:08:36.720 --> 00:08:40.240]  LVM再往下最后就生成我们的Binary Kernel
[00:08:40.240 --> 00:08:42.360]  然后当生成一个Binary Kernel之后
[00:08:42.360 --> 00:08:44.200]  我们最后就会进行一个Kernel Launch
[00:08:44.200 --> 00:08:49.480]  然后在我们的硬件生存平台上进行一个真正的执行
[00:08:49.480 --> 00:08:52.760]  然后这里的话是一个完整的流程
[00:08:52.760 --> 00:08:56.480]  然后后面的话我会针对于每一个模块
[00:08:56.480 --> 00:09:00.760]  进行一个比较详细的解释
[00:09:03.480 --> 00:09:07.000]  然后第一步我们可以CANN就是Make TTIR
[00:09:07.000 --> 00:09:09.480]  就是顾名思义我们就是生成TTIR
[00:09:09.480 --> 00:09:13.800]  TTIR的话它是肯定是从我们的Python Language来的
[00:09:13.800 --> 00:09:16.560]  就是我们用户会写一个Kernel
[00:09:16.560 --> 00:09:21.240]  当然我们除了手写Trithon Kernel之外
[00:09:21.240 --> 00:09:23.840]  我们还会需要我们还有别的路径
[00:09:23.840 --> 00:09:27.560]  可能比如我们可以用Induct自动生成
[00:09:27.560 --> 00:09:32.840]  然后但是最终的话肯定是需要生成一个
[00:09:32.840 --> 00:09:34.320]  Python的Python Kernel
[00:09:34.320 --> 00:09:41.240]  然后我们的Make TTIR肯定就是将Python的Titon Kernel
[00:09:41.240 --> 00:09:44.840]  然后用相同的语语翻译成我们的TTIR
[00:09:44.840 --> 00:09:49.520]  这个TTI的话就是方便我们后面进行一系列的编译化
[00:09:49.520 --> 00:09:51.480]  然后我们可以CANN到
[00:09:51.480 --> 00:09:57.520]  比如我们在这个Kernel里面写了一个PID等于TID Program ID
[00:09:57.520 --> 00:09:59.120]  然后映射成TTI的时候
[00:09:59.120 --> 00:10:04.520]  我们可以CANN到它变成了一个TT.GetProgram ID X
[00:10:04.520 --> 00:10:10.640]  然后这个语义就是可以跟我们Python中的语义对应
[00:10:10.640 --> 00:10:14.740]  然后这个这个东西的作用其实就是
[00:10:14.840 --> 00:10:17.680]  获取当前这个Kernel逻辑核的ID
[00:10:17.680 --> 00:10:26.720]  然后后面我会我有一个表会具体介绍一下这里对应的Python的Op
[00:10:26.720 --> 00:10:31.880]  和我们的就是Trithon方言中的Op到底是什么作用
[00:10:31.880 --> 00:10:34.720]  然后再CANN这里的T2.Load
[00:10:34.720 --> 00:10:39.440]  然后这Load的作用其实就是把我们的从GlobalMemory中的数据
[00:10:39.440 --> 00:10:41.880]  搬到我们的Fact计算单元
[00:10:41.880 --> 00:10:43.640]  然后这一步的话就是T2.Load
[00:10:43.640 --> 00:10:45.680]  我们在Python结果中是什么写的
[00:10:45.680 --> 00:10:46.400]  然后映射的话
[00:10:46.400 --> 00:10:49.480]  大家可以CANN到它就变成了TT.Load
[00:10:49.480 --> 00:10:52.640]  但是并不是这么简单的就是一个Load
[00:10:52.640 --> 00:10:54.880]  我们可以CANN到我们之中是有参数的
[00:10:54.880 --> 00:10:58.680]  它是有指针加Offset加Mask
[00:10:58.680 --> 00:11:04.160]  然后这一步的话它会映射成上面这一堆TT方言
[00:11:04.160 --> 00:11:05.720]  然后其实还是比较复杂的
[00:11:05.720 --> 00:11:11.520]  然后这一步的话就是我们将Python代码翻译成TTR
[00:11:11.520 --> 00:11:21.640]  然后这里的话就是我们每一个RR操作和对应的Python代码可以CANN到RR操作这里是一个Const
[00:11:21.640 --> 00:11:25.560]  然后这里的话在Python语言中它是一个Block size
[00:11:25.560 --> 00:11:28.600]  其实就是我们上次上面提到的它是一个切块
[00:11:28.600 --> 00:11:34.240]  然后也就是说这个Kernel每次处理的Block的大小就是256
[00:11:34.240 --> 00:11:38.440]  然后对应映射到我们的RR中它就是Const
[00:11:38.440 --> 00:11:41.200]  Const的意思就是我们是编译器值的长量
[00:11:41.200 --> 00:11:43.360]  然后这里是可以CANN到
[00:11:43.360 --> 00:11:49.360]  然后这个GateProgram ID其实刚刚我已经解释过就是获取当前逻辑核ID
[00:11:49.360 --> 00:11:50.720]  什么是逻辑核呢
[00:11:50.720 --> 00:11:55.240]  就是我们我们一个我们Triton它是可以分很多很多很多核
[00:11:55.240 --> 00:11:58.960]  然后但是我们深层芯片的话
[00:11:58.960 --> 00:12:01.620]  其实物理核数这样像Fact核数
[00:12:01.620 --> 00:12:04.720]  其实大概是在40个核左右
[00:12:04.720 --> 00:12:08.880]  所以说如果逻辑核超过物理核的话
[00:12:08.880 --> 00:12:15.680]  其实就会带来一系列的那个下发的消耗
[00:12:15.680 --> 00:12:19.720]  所以说但是因为像DPU的话
[00:12:19.720 --> 00:12:21.080]  它是因为它这里是线程
[00:12:21.080 --> 00:12:22.760]  然后跟我们混的不太一样
[00:12:22.760 --> 00:12:25.400]  所以说针对于深层的清河的编程的话
[00:12:25.400 --> 00:12:30.720]  我们还是希望逻辑核数尽量跟我们的物理核数保持一致
[00:12:30.720 --> 00:12:36.920]  或者就是针对于不同的shape可以有一个不同的优化
[00:12:36.920 --> 00:12:41.160]  然后第三个操作就是可以CANN到ARIS-mall-i
[00:12:41.160 --> 00:12:43.120]  这里的话其实就是一个乘法的操作
[00:12:43.120 --> 00:12:50.760]  然后用来计算每个逻辑核它处理的指针在GlobalMario70地址
[00:12:50.760 --> 00:12:54.440]  然后这个是ARIS.compare
[00:12:54.440 --> 00:12:57.080]  它其实就是一个比较类生成mask
[00:12:57.080 --> 00:13:01.120]  然后这个是一个tt.make_range
[00:13:01.120 --> 00:13:04.400]  就是在Python中其实就是tl.range
[00:13:04.400 --> 00:13:07.680]  然后它会生成一个0到255的序列
[00:13:07.680 --> 00:13:13.280]  然后这里的话这个是一个tt.addptr
[00:13:13.280 --> 00:13:16.120]  就是一个指针跟一个offsetset的一个加法
[00:13:16.120 --> 00:13:23.080]  它是为了计算一块tensor在GlobalMario中的分布
[00:13:23.080 --> 00:13:29.080]  然后我们在load的时候也是会根据这个地址去往我们的fact计算单元去进行搬运
[00:13:29.080 --> 00:13:33.200]  load的话也是刚刚我介绍过的是一个搬入的操作
[00:13:33.200 --> 00:13:40.520]  然后这个store其实就是一个从我们搬入到fact计算单元进行一些计算
[00:13:40.520 --> 00:13:42.680]  然后达到我们想要的结果之后
[00:13:42.680 --> 00:13:47.360]  我们肯定还需要把最终的结果再搬回到globalMemory之中
[00:13:47.360 --> 00:13:48.680]  这就是搬出的操作
[00:13:48.680 --> 00:13:57.680]  这里的话可以CANN到这就是每一个python代码都会其实都会有一个对应的ttr进行对应的语义的转换
[00:13:57.680 --> 00:14:07.680]  然后ttr讲完之后我们就是需要讲一下我们如何将ttr转成ttr
[00:14:07.680 --> 00:14:11.680]  然后我先介绍一下ttr它到底是什么东西
[00:14:11.680 --> 00:14:14.680]  ttr其实是我们是一个集合
[00:14:14.680 --> 00:14:21.680]  就是它里面包含了linag,memoref,ervis,math等各种方言的集合
[00:14:21.680 --> 00:14:27.680]  然后我们就是我们为什么要生成一个ttr的IR呢
[00:14:27.680 --> 00:14:30.680]  是因为我们的sdn的MPIR
[00:14:30.680 --> 00:14:35.680]  它其实是一个它需要获取到这一个一段IR
[00:14:35.680 --> 00:14:37.680]  然后再进行下一步的边缘化
[00:14:37.680 --> 00:14:44.680]  然后这些IR其实都是依赖于MLIR这个架构的
[00:14:44.680 --> 00:14:50.680]  然后ttr向ttr转换的本质
[00:14:50.680 --> 00:14:52.680]  其实就是我们python方言
[00:14:52.680 --> 00:14:55.680]  向上述方言集合的一个转换的过程
[00:14:55.680 --> 00:14:59.680]  我们可以CANN到像刚刚提到的tt.load
[00:14:59.680 --> 00:15:01.680]  然后转到我们的
[00:15:01.680 --> 00:15:03.680]  它会生成在生成的ttr中
[00:15:03.680 --> 00:15:05.680]  它其实可以CANN到它是变成了一个memoref.copy
[00:15:05.680 --> 00:15:08.680]  然后它们在语义上是相等的
[00:15:08.680 --> 00:15:10.680]  但它们的表达上是不一样的
[00:15:10.680 --> 00:15:14.680]  因为像可以CANN到我们的坛数
[00:15:14.680 --> 00:15:18.680]  像load它8%,6%
[00:15:18.680 --> 00:15:19.680]  它其实都是一个
[00:15:19.680 --> 00:15:22.680]  像8%它就是可能是个pointer
[00:15:22.680 --> 00:15:26.680]  但是到了IR,到了ttr,它变成一个subbill
[00:15:26.680 --> 00:15:28.680]  发了一个memoref
[00:15:28.680 --> 00:15:32.680]  所以说因为我们后面sMPIR
[00:15:32.680 --> 00:15:34.680]  它需要获取到这一类的语义
[00:15:34.680 --> 00:15:37.680]  然后才能进行继续的优化
[00:15:37.680 --> 00:15:39.680]  但是sMPIR的话
[00:15:39.680 --> 00:15:40.680]  不是这次介绍的重点
[00:15:40.680 --> 00:15:42.680]  我就不详细介绍了
[00:15:42.680 --> 00:15:45.680]  然后再CANN一下这个tt.store
[00:15:45.680 --> 00:15:48.680]  在这里,在ttr的阶段
[00:15:48.680 --> 00:15:51.680]  它也生成了一个bufferization的一个方言
[00:15:51.680 --> 00:15:55.680]  然后这也是一个相同语域的转换
[00:15:55.680 --> 00:16:01.680]  然后当转为ttr之后
[00:16:01.680 --> 00:16:05.680]  我们最终的目的肯定是想要把它变成一个binary kernel
[00:16:05.680 --> 00:16:07.680]  然后生成一个二进制文件
[00:16:07.680 --> 00:16:08.680]  然后进行一个kernel launch
[00:16:08.680 --> 00:16:11.680]  然后至于中间的过程的话
[00:16:11.680 --> 00:16:14.680]  其实就是一个比较复杂
[00:16:14.680 --> 00:16:16.680]  然后也许供满了大量的编义优化
[00:16:16.680 --> 00:16:21.680]  你可以CANN到pattern语言生成patterr
[00:16:21.680 --> 00:16:22.680]  就是ttr
[00:16:22.680 --> 00:16:23.680]  ttr转成ttr data
[00:16:23.680 --> 00:16:27.680]  然后这一部分就是这一打断
[00:16:27.680 --> 00:16:29.680]  这个流程是一个非常长
[00:16:29.680 --> 00:16:31.680]  并且复杂的流程
[00:16:31.680 --> 00:16:32.680]  然后我们将ttr data
[00:16:32.680 --> 00:16:36.680]  先传到sMPIR这个组件里面
[00:16:36.680 --> 00:16:38.680]  这个组件里面它都是mIR
[00:16:38.680 --> 00:16:42.680]  然后它会进行各种优化
[00:16:42.680 --> 00:16:46.680]  包含了像sMPIR它也分两个阶段
[00:16:46.680 --> 00:16:47.680]  一个是hpation阶段
[00:16:47.680 --> 00:16:48.680]  一个是hivm阶段
[00:16:48.680 --> 00:16:49.680]  hpation阶段
[00:16:49.680 --> 00:16:51.680]  它是一个硬件无关的优化
[00:16:51.680 --> 00:16:55.680]  会在sMPIR的hpation阶段去进行一个优化
[00:16:55.680 --> 00:17:00.680]  然后转完之后就会进到hivm
[00:17:00.680 --> 00:17:03.680]  hivm它其实会充施了各种硬件相关
[00:17:03.680 --> 00:17:04.680]  别内存同步
[00:17:04.680 --> 00:17:05.680]  各种优化
[00:17:05.680 --> 00:17:07.680]  然后最后它会传到llbm
[00:17:07.680 --> 00:17:11.680]  然后再经过我们的医生编译器
[00:17:11.680 --> 00:17:13.680]  然后生成一个二进制
[00:17:13.680 --> 00:17:15.680]  然后这就是一个完整的编译流程
[00:17:18.680 --> 00:17:20.680]  然后编译完成之后
[00:17:20.680 --> 00:17:24.680]  我们最后的目的肯定是想要去将
[00:17:24.680 --> 00:17:26.680]  我们对应的binary的kernel
[00:17:26.680 --> 00:17:29.680]  去放到device上真正的去执行
[00:17:29.680 --> 00:17:32.680]  这个阶段就是kernel launch阶段
[00:17:32.680 --> 00:17:34.680]  然后我们可以CANN一下
[00:17:34.680 --> 00:17:35.680]  kernel launch技术定义
[00:17:35.680 --> 00:17:37.680]  是指在traten send中
[00:17:37.680 --> 00:17:39.680]  用cpu发出指定
[00:17:39.680 --> 00:17:43.680]  让npon开始并行执行一个特定的kernel的过程
[00:17:44.680 --> 00:17:48.680]  然后我们过一下我们第一次kernel launch
[00:17:48.680 --> 00:17:49.680]  为什么要说第一次呢
[00:17:49.680 --> 00:17:53.680]  因为像前面的编译阶段
[00:17:53.680 --> 00:17:55.680]  就是一个相同的kernel
[00:17:55.680 --> 00:17:57.680]  你其实只需要编译一次
[00:17:57.680 --> 00:18:05.680]  然后后面当你所有的参数和kernel都是不变的情况下
[00:18:05.680 --> 00:18:06.680]  你编译完一次之后
[00:18:06.680 --> 00:18:10.680]  你后面的执行其实都不需要再重复上述编译的步骤
[00:18:10.680 --> 00:18:13.680]  这可以节省很大量的编译时间
[00:18:13.680 --> 00:18:19.680]  所以我们先过一下第一次浪起一个kernel
[00:18:19.680 --> 00:18:20.680]  它会发生什么
[00:18:20.680 --> 00:18:24.680]  首先呢肯定是将Pythonkernel翻译成ttr
[00:18:25.680 --> 00:18:27.680]  然后生成完ttr之后
[00:18:27.680 --> 00:18:30.680]  然后我们会经过一系列的编译优化
[00:18:30.680 --> 00:18:35.680]  当然包括了我们上述的生成ttr data
[00:18:35.680 --> 00:18:38.680]  然后经过smpr
[00:18:38.680 --> 00:18:40.680]  然后经过lbm
[00:18:40.680 --> 00:18:42.680]  然后经过微生
[00:18:42.680 --> 00:18:46.680]  然后最后生成了一个我们的npu架构的汇变代码
[00:18:46.680 --> 00:18:49.680]  其实就是我们的最终的一个二性质
[00:18:49.680 --> 00:18:50.680]  binarykernel
[00:18:50.680 --> 00:18:52.680]  然后生成了这个kernel的话
[00:18:52.680 --> 00:18:57.680]  它会被缓存到我们这样一个tritan cache的目录下
[00:18:57.680 --> 00:18:59.680]  然后下次用相同的参数
[00:18:59.680 --> 00:19:01.680]  比如我们blokset是一样
[00:19:01.680 --> 00:19:04.680]  然后kernel逻辑是一样的情况下
[00:19:04.680 --> 00:19:07.680]  我们直接会在这个cache这个目录下
[00:19:07.680 --> 00:19:09.680]  直接去进行一个kernel launch
[00:19:09.680 --> 00:19:10.680]  避免了重复的编译
[00:19:12.680 --> 00:19:14.680]  然后当所有编译阶段准备好之后
[00:19:14.680 --> 00:19:18.680]  然后python运行时就会通过NPU driver API
[00:19:18.680 --> 00:19:19.680]  将编译好的kernel
[00:19:19.680 --> 00:19:21.680]  然后参数以及执行的配置
[00:19:21.680 --> 00:19:23.680]  随从到npu的命令队列
[00:19:23.680 --> 00:19:26.680]  然后进行调度执行
[00:19:26.680 --> 00:19:29.680]  然后这样的话我们就会在我们的生成器面中
[00:19:29.680 --> 00:19:32.680]  进行一个变形计算
[00:19:32.680 --> 00:19:36.680]  然后这就是我们一个完整的kernel launch的流程
[00:19:38.680 --> 00:19:42.680]  然后上述就是讲了一下我们整个tritan send仓
[00:19:42.680 --> 00:19:44.680]  主要有具备哪些功能
[00:19:44.680 --> 00:19:48.680]  然后接下来的话我会讲一下tritan send
[00:19:48.680 --> 00:19:50.680]  它重点pass是哪些
[00:19:52.680 --> 00:19:54.680]  然后tritan send
[00:19:54.680 --> 00:19:58.680]  我们首先要明确点tritan send的重点模块
[00:19:58.680 --> 00:20:00.680]  是tritan adapt
[00:20:00.680 --> 00:20:04.680]  像上述我介绍的那些像smpir也好
[00:20:04.680 --> 00:20:06.680]  和lunch也好
[00:20:06.680 --> 00:20:08.680]  包括mkTTIR也好
[00:20:08.680 --> 00:20:10.680]  其实我们
[00:20:10.680 --> 00:20:15.680]  我们的就是mkTTIR可能我们还需要对一个python
[00:20:15.680 --> 00:20:20.680]  就是在python阶段有一些语义的废奇
[00:20:20.680 --> 00:20:22.680]  就跟我们生存
[00:20:22.680 --> 00:20:24.680]  但是像smpir
[00:20:24.680 --> 00:20:28.680]  和lunch其实我们都是一个使用者
[00:20:28.680 --> 00:20:30.680]  我们生成一个tritan
[00:20:30.680 --> 00:20:32.680]  ttadaptir之后
[00:20:32.680 --> 00:20:34.680]  我们是使用了smpir
[00:20:34.680 --> 00:20:36.680]  然后将我们的ttadaptir
[00:20:36.680 --> 00:20:37.680]  tritan adaptir
[00:20:37.680 --> 00:20:38.680]  输入给smpir
[00:20:38.680 --> 00:20:40.680]  然后它进行优化
[00:20:40.680 --> 00:20:42.680]  但真正的优化其实
[00:20:42.680 --> 00:20:44.680]  是在我们tritan send的康中
[00:20:44.680 --> 00:20:46.680]  我们是它使用者
[00:20:46.680 --> 00:20:49.680]  然后tritan send的重点作用
[00:20:49.680 --> 00:20:50.680]  重点的模块是
[00:20:50.680 --> 00:20:52.680]  其实就在我们tritan adapt
[00:20:52.680 --> 00:20:54.680]  然后这一部分
[00:20:54.680 --> 00:20:56.680]  其实就是
[00:20:56.680 --> 00:21:00.680]  将TTIR转成ttadaptir的过程
[00:21:00.680 --> 00:21:06.680]  然后所以说主要的pass也是在这个模块中的
[00:21:06.680 --> 00:21:10.680]  然后大家可以CANN一下
[00:21:10.680 --> 00:21:12.680]  tritan adapt的代码架构
[00:21:12.680 --> 00:21:14.680]  其实主要是长这个样子
[00:21:14.680 --> 00:21:18.680]  然后主要就是由这几个pass组成
[00:21:18.680 --> 00:21:20.680]  然后其中包含的pass有
[00:21:20.680 --> 00:21:24.680]  discrete mask access conversion
[00:21:24.680 --> 00:21:26.680]  tritan near rise
[00:21:26.680 --> 00:21:27.680]  tritan to annotation
[00:21:27.680 --> 00:21:28.680]  tritan to intrusion
[00:21:28.680 --> 00:21:29.680]  tritan to heavym
[00:21:29.680 --> 00:21:31.680]  tritan to linux
[00:21:31.680 --> 00:21:32.680]  tritan to lvm
[00:21:32.680 --> 00:21:33.680]  还有tritan to onstrudge
[00:21:33.680 --> 00:21:36.680]  然后这几个pass组成了
[00:21:36.680 --> 00:21:38.680]  我们的tritan adapt模块
[00:21:38.680 --> 00:21:40.680]  然后我们TTIR也是经过
[00:21:40.680 --> 00:21:42.680]  这几个pass的一系列的优化
[00:21:42.680 --> 00:21:44.680]  一些转换最终生成了
[00:21:44.680 --> 00:21:47.680]  我们想要的ttadapt
[00:21:47.680 --> 00:21:49.680]  然后可以CANN一下我们
[00:21:49.680 --> 00:21:51.680]  我们的tritan adapt的搜出位置
[00:21:51.680 --> 00:21:53.680]  你CANN到
[00:21:53.680 --> 00:21:55.680]  tritan语言生成TTIR
[00:21:55.680 --> 00:21:57.680]  然后TTIR转ttadapt
