
[00:00:00.000 --> 00:00:07.280]  大家好,我是昇腾CANN生态的郭宜鹏
[00:01:32.440 --> 00:01:34.640]  来指导说我们这个数据
[00:01:34.640 --> 00:01:36.060]  是如何做的一个并行计算
[00:01:36.060 --> 00:01:37.160]  但是呢
[00:01:37.160 --> 00:01:39.640]  隐藏了大部分的关于硬件的细节
[00:01:39.640 --> 00:01:42.380]  然后提供一种高出向的编程方式
[00:01:42.380 --> 00:01:44.380]  来提高开发者的开发效率
[00:01:44.380 --> 00:01:45.880]  然后它呢
[00:01:45.880 --> 00:01:48.240]  是一种就是SPMD的开发方式
[00:01:48.240 --> 00:01:50.140]  也就是说所有的逻辑和
[00:01:50.220 --> 00:01:52.580]  共用一段TritonCurnal的代码
[00:01:52.580 --> 00:01:53.980]  然后呢
[00:01:53.980 --> 00:01:55.680]  它会自动的发射多个逻辑核
[00:01:55.680 --> 00:01:56.480]  然后呢
[00:01:56.480 --> 00:01:57.400]  根据逻辑核数
[00:01:57.400 --> 00:01:59.420]  把我们的计算数据切块为多个Block
[00:01:59.420 --> 00:02:00.640]  去做一个平行的计算
[00:02:00.640 --> 00:02:02.680]  然后每个TritonCurnal
[00:02:02.680 --> 00:02:04.120]  就是我们的这个逻辑核内呢
[00:02:04.120 --> 00:02:06.400]  它去计算一个Block的数据
[00:02:06.400 --> 00:02:08.100]  然后在里边
[00:02:08.100 --> 00:02:09.400]  我们需要根据逻辑核的ID
[00:02:09.400 --> 00:02:11.600]  去计算对应数据的这个位置
[00:02:11.600 --> 00:02:15.120]  然后它这个开发的模式呢
[00:02:15.120 --> 00:02:16.480]  其实就像下个这个图一样
[00:02:16.480 --> 00:02:19.040]  那实现是在外部的算子调用方面
[00:02:19.040 --> 00:02:22.360]  我们需要在外边去创建这个Tensor
[00:02:22.360 --> 00:02:23.540]  而且做数据的数字化
[00:02:23.540 --> 00:02:24.980]  比如说在这里呢
[00:02:24.980 --> 00:02:27.460]  我们的数据会在GM上
[00:02:27.460 --> 00:02:29.420]  然后完成它的数字化
[00:02:29.420 --> 00:02:31.300]  然后我们再调用这个
[00:02:31.300 --> 00:02:32.300]  我们的TrendonCurnal
[00:02:32.300 --> 00:02:34.180]  然后把我们这些Tensor传进去
[00:02:34.180 --> 00:02:36.280]  就是以指针的方式传进去
[00:02:36.280 --> 00:02:37.260]  然后同时呢
[00:02:37.260 --> 00:02:37.860]  在调用时呢
[00:02:37.860 --> 00:02:39.740]  我们还有一个Grid的参数
[00:02:39.740 --> 00:02:41.700]  那这个参数我们可以控制
[00:02:41.700 --> 00:02:43.940]  这个逻辑核的数量
[00:02:43.940 --> 00:02:46.700]  而且是每个轴去分开去
[00:02:46.700 --> 00:02:48.340]  确定这个数量
[00:02:48.340 --> 00:02:50.620]  然后最多支撑3D的这么一个Grid
[00:02:50.620 --> 00:02:53.540]  然后在算子时间内呢
[00:02:53.540 --> 00:02:55.260]  我们的第一步都是去先去
[00:02:55.260 --> 00:02:56.380]  获取我们的逻辑核ID
[00:02:56.380 --> 00:02:57.800]  就是拿到我们这个PID
[00:02:57.800 --> 00:03:00.180]  然后呢根据我们的PID呢
[00:03:00.180 --> 00:03:02.300]  还有我们已经确定了
[00:03:02.300 --> 00:03:04.080]  这个Blowside的切块大小
[00:03:04.080 --> 00:03:07.280]  来计算我们这个目标数据的位置
[00:03:07.280 --> 00:03:09.720]  然后再把这个对应的数据
[00:03:09.720 --> 00:03:11.580]  然后加载到我们的片上内存
[00:03:11.580 --> 00:03:13.520]  然后实现我们的这个计算逻辑
[00:03:13.520 --> 00:03:15.680]  然后最后再把我们的数据呢
[00:03:15.680 --> 00:03:16.420]  存回片外
[00:03:16.420 --> 00:03:18.800]  然后这里我们讲的片上内存
[00:03:18.800 --> 00:03:19.880]  其实主要是对应的
[00:03:19.880 --> 00:03:20.940]  就是升堂里边的
[00:03:20.940 --> 00:03:23.680]  Cube核里的这个LE
[00:03:23.680 --> 00:03:25.540]  还有Vector核里的UB
[00:03:25.540 --> 00:03:34.700]  然后呢也给大家介绍一下
[00:03:34.700 --> 00:03:36.000]  这个快速过一下
[00:03:36.000 --> 00:03:37.920]  里边这个关键的API
[00:03:37.920 --> 00:03:39.120]  那首先就是一个Tensor
[00:03:39.120 --> 00:03:40.780]  这个就是我们Traten内的
[00:03:40.780 --> 00:03:42.140]  那首先就是一个Tensor
[00:03:42.140 --> 00:03:44.160]  这个就是我们Traten内的
[00:03:44.160 --> 00:03:46.000]  这个最基本的一个多位章样结构
[00:03:46.000 --> 00:03:47.380]  那也是大部分这个
[00:03:47.380 --> 00:03:48.860]  我们这个TratenLanguage
[00:03:48.860 --> 00:03:50.640]  这个接口的操作对象
[00:03:50.640 --> 00:03:51.680]  还有它的返回值
[00:03:51.680 --> 00:03:54.020]  然后Program ID
[00:03:54.020 --> 00:03:56.160]  然后这个其实就是我们当前实例
[00:03:56.160 --> 00:03:57.900]  然后在X这个轴的
[00:03:57.900 --> 00:03:58.880]  它的一个编号
[00:03:58.880 --> 00:04:01.400]  那这个最多支持一个3D的范围
[00:04:01.400 --> 00:04:03.980]  那我们就是通过这个接口来获取
[00:04:03.980 --> 00:04:07.080]  我们当前这个逻辑核的这个ID
[00:04:07.080 --> 00:04:09.800]  然后下边这个NumPrograms呢
[00:04:09.800 --> 00:04:13.300]  其实也是我们需要给它输入一个指定的轴
[00:04:13.300 --> 00:04:17.060]  然后呢它代表是这个轴上我们启动的实例的总数
[00:04:17.060 --> 00:04:18.660]  那也是一个3D范围
[00:04:18.660 --> 00:04:21.420]  然后这两个是提供我们一些
[00:04:21.420 --> 00:04:25.660]  我们用来计算我们当前的这个计算数据范围的一个信息
[00:04:25.660 --> 00:04:28.720]  然后下边的这个Arrange接口呢
[00:04:28.720 --> 00:04:32.240]  然后它的作用是返回这个Huff Open区间的连接数字
[00:04:32.240 --> 00:04:38.540]  但是它的这个起点和终点的这个长度呢
[00:04:38.540 --> 00:04:41.820]  是有一个这个上线的要求
[00:04:41.820 --> 00:04:44.700]  然后还有这个负这个指定
[00:04:44.700 --> 00:04:49.820]  这个指定就是返回一个被一个指定类型的标量值填满的一个Tensor
[00:04:49.820 --> 00:04:55.280]  我们通常在它内部去比如说创建一些默认值这类的Tensor
[00:04:55.280 --> 00:05:00.000]   song 然后这两个是就是在数据创建方面的一个接口
[00:05:00.000 --> 00:05:03.260]  还有就是我们这个loadstore这两个接口
[00:05:03.260 --> 00:05:04.240]  然后这两个接口
[00:05:04.240 --> 00:05:08.100]  然后它做的事情就是一个是从指定的地址
[00:05:08.100 --> 00:05:12.300]  然后一般我们说的就是这个片外的这个地址
[00:05:12.300 --> 00:05:13.020]  就是我们的GM
[00:05:13.020 --> 00:05:16.220]  然后根据我们的这个mask的指示
[00:05:16.220 --> 00:05:18.960]  把对应的数据给放到片上的内存
[00:05:18.960 --> 00:05:22.800]  然后如果mask设置就是为零的那些
[00:05:22.800 --> 00:05:24.420]  相当于说我们会放弃这些数据
[00:05:24.420 --> 00:05:26.660]  然后呢store也是一样
[00:05:26.660 --> 00:05:29.940]  就是我们会根据我们的mask的这个指示
[00:05:29.940 --> 00:05:34.040]  把我们的数据再从我的片上来存到片外的这个指定位置
[00:05:34.040 --> 00:05:39.120]  然后这一类就是我们Traden里边最常见的一些API
[00:05:39.120 --> 00:05:49.140]  然后给大家CANN一下我们这个Traden开发的这么一个例子
[00:05:49.140 --> 00:05:53.580]  然后给大家展示一个最简单的一个VectorAd的这么一个用力
[00:05:53.580 --> 00:05:59.880]  在这里呢我们可以CANN到说我们首先是需要给我们的这个
[00:05:59.880 --> 00:06:03.980]  这个traden算子来加这个traden.git这么一个装饰器
[00:06:03.980 --> 00:06:10.000]  来指定说我们的当前这个函数是我们用traden来执行的
[00:06:10.000 --> 00:06:13.280]  然后里边呢那些xy还有output这几个指针
[00:06:13.280 --> 00:06:19.720]  其实就是我们在这个函数外边已经创建好的那些空间的指针
[00:06:19.720 --> 00:06:22.720]  然后传进来之后我们是从里边去读书
[00:06:22.720 --> 00:06:23.940]  然后再还要写回
[00:06:23.940 --> 00:06:29.180]  然后nlamp就是我们的这个数据的一个总量
[00:06:29.880 --> 00:06:33.280]  也我们需要它来判断我们是不是有尾块的存在
[00:06:33.280 --> 00:06:36.980]  然后还有说具体的每个kernel里的算的数据的大小
[00:06:36.980 --> 00:06:40.540]  然后最后这个BLOCK_SIZE这就是一个静态值
[00:06:40.540 --> 00:06:42.380]  然后它指示了说我们是
[00:06:42.380 --> 00:06:45.560]  也我们提到我们Traden是给数据做了一个平衡的切块
[00:06:45.560 --> 00:06:48.680]  它指示就是我们这边切块的一个长度
[00:06:48.680 --> 00:06:54.060]  然后每个核其实算的就是BLOCK_SIZE这么大的数据
[00:06:54.060 --> 00:06:57.140]  好下边第一步
[00:06:57.140 --> 00:06:59.340]  然后可以CANN见我们就是通过那个program id
[00:06:59.340 --> 00:07:02.620]  然后这个接口来算出这个pid
[00:07:02.620 --> 00:07:04.320]  然后根据pid呢
[00:07:04.320 --> 00:07:06.240]  我们再乘上我们的这个Block size
[00:07:06.240 --> 00:07:10.740]  就能算出我们这个这段数据的一个内部偏移
[00:07:10.740 --> 00:07:13.020]  然后呢给它再加上我们这个
[00:07:13.020 --> 00:07:16.000]  就是给它从这个Block起点
[00:07:16.000 --> 00:07:18.400]  这个Block start为起点呢
[00:07:18.400 --> 00:07:21.380]  我们去用arrange来创建一段连续的数据
[00:07:21.380 --> 00:07:23.120]  然后这样呢我们一个tensor呢
[00:07:23.120 --> 00:07:25.920]  就会有一连串的这个offset
[00:07:25.920 --> 00:07:29.640]  然后来表达我们这一段这个连续内存的数据
[00:07:29.640 --> 00:07:34.440]  然后后边呢我们在mask的设置其实只是把我们的offset
[00:07:34.440 --> 00:07:36.700]  跟我们这个n-elements做一个比较
[00:07:36.700 --> 00:07:41.580]  这样的话如果说我们当前的这个逻辑核算是尾块
[00:07:41.580 --> 00:07:46.000]  那它其实就是在超过n-elements这个范围的那些数据
[00:07:46.000 --> 00:07:49.320]  都会被mask设置为就是不需要
[00:07:49.320 --> 00:07:53.640]  然后这样的话我们后边在就是给我们的这个输入指针
[00:07:53.640 --> 00:07:55.900]  加上我们刚才拿到的offset
[00:07:55.900 --> 00:07:58.320]  然后再传进我们这个mask
[00:07:58.320 --> 00:08:02.960]  就能把X和Y去分别的给load到我们的片上
[00:08:02.960 --> 00:08:08.600]  然后下边我们再用一个简单的一个加法来算出这个结果
[00:08:08.600 --> 00:08:13.700]  那这个结果就是那这段计算就是像我们在我们生长NPU上去完成的计算
[00:08:13.700 --> 00:08:16.800]  然后我们再把它这个计算结果
[00:08:16.800 --> 00:08:22.840]  然后通过我们out of pointer加上我们这个偏移来存回我们外边的这个gm
[00:08:22.840 --> 00:08:27.480]  那这块就是我们一个trident kernel的一个简单实现
[00:08:27.480 --> 00:08:32.120]  然后下边呢就是我们trident kernel的这个电用核运行
[00:08:32.120 --> 00:08:36.760]  就是就是我们这个函数外边的部分
[00:08:36.760 --> 00:08:42.400]  那这一部分呢首先是我们在前面用我们是基于这个touch
[00:08:42.400 --> 00:08:45.400]  就是pytouch去做我们这个数据的初始化
[00:08:45.400 --> 00:08:49.900]  那这块我们就需要这个import我们这个民想生长的touch插件
[00:08:49.900 --> 00:08:51.400]  也就是这个touchNPU
[00:08:51.400 --> 00:08:55.080]  然后通过它呢一个是来指定我们这个
[00:08:55.080 --> 00:09:00.120]  就是通过device来指定我们这个数据分配的位置是在我们的这个升堂上
[00:09:00.120 --> 00:09:03.900]  然后呢就用这两个接口来完成xy的初始化
[00:09:03.900 --> 00:09:09.020]  然后我们在这个要用这个函数的时候呢
[00:09:09.020 --> 00:09:11.440]  可以CANN到我们有一个这个grid参数
[00:09:11.440 --> 00:09:13.660]  这个就是我之前提到过的
[00:09:13.660 --> 00:09:18.600]  就是来控制我们这个逻辑和数量的一个参数
[00:09:18.600 --> 00:09:21.440]  我们可以直接把这个数写死
[00:09:21.440 --> 00:09:24.400]  或者说是通过这种lambda函数
[00:09:24.400 --> 00:09:26.320]  比如拿这个例子来CANN
[00:09:26.320 --> 00:09:31.520]  其实它的取值就是用elements来除以这个Block size
[00:09:31.520 --> 00:09:35.160]  然后来确定我们这个grid的大小到底是多少
[00:09:35.160 --> 00:09:42.460]  对然后这个其实就是我们这个关于上线节课程的一个简单回顾
[00:09:42.460 --> 00:09:47.080]  给大家CANN一下这个trident的一个大概的实现模式
[00:09:47.080 --> 00:09:48.380]  就是这个范式是什么样的
[00:09:48.600 --> 00:09:51.940]  然后下面我们就来讲一下这个
[00:09:51.940 --> 00:09:56.560]  在我们pite3的就是我们升堂上是如何做这个算子的调试
[00:09:56.560 --> 00:10:06.580]  那首先是原生社区的那个debugOP
[00:10:06.580 --> 00:10:11.180]  那这个其实也是就是我们trident里的一些接口
[00:10:11.180 --> 00:10:14.660]  然后呢它呢主要分为静态和动态这两部分
[00:10:14.660 --> 00:10:18.480]  然后也分别提供了这个打印和断言的能力
[00:10:18.600 --> 00:10:20.940]  然后我们这里静态呢
[00:10:20.940 --> 00:10:25.220]  它其实就是给我们打印这个编译时的常量值
[00:10:25.220 --> 00:10:30.460]  然后或者说是对这个在编译时期就能给我们做到这个静态断言
[00:10:30.460 --> 00:10:32.160]  来检查这个常量的表达式
[00:10:32.160 --> 00:10:36.220]  然后呢用静态的话其实我们是不需要设置一些环境变量
[00:10:36.220 --> 00:10:38.560]  然后还有就是运营师调试
[00:10:38.560 --> 00:10:41.840]  这个就是我们的device print还有device assert
[00:10:41.840 --> 00:10:46.280]  那device print呢其实就是我们在kernel执行的时候去打印它的变量值
[00:10:46.280 --> 00:10:49.280]  然后这块我们需要给它提供这个打印的prefix
[00:10:49.280 --> 00:10:52.520]  然后也需要我们来设置这个环境变量
[00:10:52.520 --> 00:10:54.220]  就这个trident device print
[00:10:54.220 --> 00:10:55.640]  这个我们要设置成1
[00:10:55.640 --> 00:10:57.960]  它才能完成这个数据的打印
[00:10:57.960 --> 00:11:01.240]  然后还有就是我们的运营师断言
[00:11:01.240 --> 00:11:04.440]  那这块呢其实也是需要设置环境变量
[00:11:04.440 --> 00:11:08.000]  相比之前的打印我们要多设置一个
[00:11:08.000 --> 00:11:09.100]  就是trident debug
[00:11:09.100 --> 00:11:11.640]  然后这个环境变量我们也要设为1
[00:11:11.640 --> 00:11:15.560]  然后这样才能用这个device assert的这个debug OP
[00:11:15.560 --> 00:11:21.500]  然后下边也给大家CANN一个例子
[00:11:21.500 --> 00:11:23.220]  就是这个debug OP
[00:11:23.220 --> 00:11:28.580]  然后这块呢就是我们一个正常的一个加法的一个
[00:11:28.580 --> 00:11:31.460]  一个trident kernel的例子
[00:11:31.460 --> 00:11:38.340]  然后这里呢我们就是我们做了这个静态的断言和动态的这个打印
[00:11:38.340 --> 00:11:39.860]  也有静态的打印
[00:11:39.860 --> 00:11:43.880]  然后这里呢其实我们CANN见我们在这里啊
[00:11:43.880 --> 00:11:49.360]  首先是来这个静态值打印这个静态值是肯定是没问题的
[00:11:49.360 --> 00:11:51.320]  但是呢我们这里也给大家试的是
[00:11:51.320 --> 00:11:53.760]  这个静态值去打动态值会是什么样的
[00:11:53.760 --> 00:11:56.680]  然后而动态值呢就是我们就是啊
[00:11:56.680 --> 00:11:58.960]  打印我们比如说里边漏洞出来这些数据
[00:11:58.960 --> 00:12:01.980]  然后这块也是一个也还有一个例子
[00:12:01.980 --> 00:12:05.560]  就是我们打静态值来打印我们动态才能确定的部分
[00:12:05.560 --> 00:12:10.620]  那右边就是啊我们左边这个函数来运行的一个结果
[00:12:10.620 --> 00:12:13.460]  啊可以CANN到我们打印顺序来说啊
[00:12:13.460 --> 00:12:17.760]  因为static print这个它的作用是说我们在编译期就能把这些值确定
[00:12:17.760 --> 00:12:21.400]  所以它在一开始就会把里边的study print都给打出来
[00:12:21.400 --> 00:12:23.560]  然后呢
[00:12:23.560 --> 00:12:28.460]  后边再把我们这个里边写入的这些device print也打出来
[00:12:28.460 --> 00:12:32.020]  那从study print我们可以CANN见啊像Block size这个东西
[00:12:32.020 --> 00:12:36.880]  因为它本身你先定义也可以CANN到啊它就是一个静态的长量
[00:12:36.880 --> 00:12:41.420]  所以这会在study print的时候呢它可以把这个的取值也就是118
[00:12:41.420 --> 00:12:42.920]  可以给大家取出来
[00:12:42.920 --> 00:12:48.720]  然后呢在动态的时候呢呃比如这个pid
[00:12:48.720 --> 00:12:54.160]  那它我来打印这个pid的时候呢因为它在静态时期是不可推断取值了
[00:12:54.160 --> 00:13:00.020]  所以在这个时候呢它只能给大家打印出来啊这个动态数据的一个数据类型
[00:13:00.020 --> 00:13:04.280]  因为这个类型是可以在编译期确定的啊但是取值它是打不出来的
[00:13:04.280 --> 00:13:06.020]  所以像pid还有这个rx
[00:13:06.020 --> 00:13:09.020]  其实你可以CANN它只能给大家打印出来的数据类型
[00:13:09.020 --> 00:13:19.020]  然后当然在那个动态的device print里边那它就很明显这个因为我们开了两个平衡的kernel
[00:13:19.020 --> 00:13:25.020]  所以它会分别打出来啊我们这个不管是呃0号这个kernel它里边计算的部分
[00:13:25.020 --> 00:13:27.020]  还有的1号kernel它里边计算的部分
[00:13:27.020 --> 00:13:35.020]  对所以这块去大家要注意一下如果我们用study print去打一个动态的一个运行时的一个值
[00:13:35.020 --> 00:13:38.020]  那它只会给大家打印出这个数据的类型
[00:13:39.020 --> 00:13:45.020]  然后还有我们的这个解释器模式啊那这块其实我们就是我们的CPU调试
[00:13:45.020 --> 00:13:52.020]  因为像上面的这个print呢它其实说我们就只能在我们的这个代码里呢
[00:13:52.020 --> 00:13:55.020]  把我们一些想检查的数据给打出来
[00:13:55.020 --> 00:14:03.020]  但是它呢并不能提提供那种栽白斯外的那种这个这个这个debug能力
[00:14:03.020 --> 00:14:09.020]  那这样的话呢我们就需要来呃用我们的这个CPU调试的这个功能
[00:14:09.020 --> 00:14:17.020]  然后用法其实很简单就是把这个treton interpret这个环境变量给这个给设置为1
[00:14:17.020 --> 00:14:22.020]  然后这样呢它就会就是用解释器在我们的CPU上去做一个运行
[00:14:22.020 --> 00:14:24.020]  而不是在这个升级上去运行
[00:14:24.020 --> 00:14:30.020]  然后呢在这个模式下呢我们就可以插入这个python的这个断点
[00:14:30.020 --> 00:14:32.020]  来用这个ptb的功能
[00:14:32.020 --> 00:14:34.020]  用法也很常规就是我们importptb
[00:14:34.020 --> 00:14:37.020]  然后在里边我们的断点里去设置这个size trace
[00:14:37.020 --> 00:14:42.020]  然后在里边呢我们也就是用正常的那些ptb的debug方式
[00:14:42.020 --> 00:14:47.020]  来去给我们做一个个的这个比如说每一步的检查这类的东西
[00:14:47.020 --> 00:14:54.020]  但是这个模式呢要注意它并没有真的在我们登上去指求我们代码
[00:14:54.020 --> 00:14:58.020]  所以说呢它只能用来做这个正确性的调试
[00:14:58.020 --> 00:15:00.020]  因为它性能会不好
[00:15:00.020 --> 00:15:05.020]  所以说有时候大家在用完这个解释器模式去做这个代码的调试之后
[00:15:05.020 --> 00:15:09.020]  一定要记得这个把这个环境变量再给设置回去
[00:15:09.020 --> 00:15:14.020]  不然后你会发现这个算子运行就是非常的低效
[00:15:14.020 --> 00:15:16.020]  所以这块大家也要注意一下
[00:15:19.020 --> 00:15:21.020]  那然后就是精度对比
[00:15:21.020 --> 00:15:24.020]  这个这个例子也是我们这个开源仓里边
[00:15:24.020 --> 00:15:26.020]  大家可以CANN到的一个例子
[00:15:26.020 --> 00:15:30.020]  这个其实给我们大家CANN就是说我们这个升堂在处理
[00:15:30.020 --> 00:15:34.020]  做不同数据类型的时候我们是怎么去比较它们的精度的
[00:15:34.020 --> 00:15:38.020]  首先第一步我们肯定是要检查这个数据的类型是否一致
[00:15:38.020 --> 00:15:41.020]  不一致就可以直接不用比了
[00:15:41.020 --> 00:15:45.020]  然后后边呢我们再对不同的这个复点类型
[00:15:45.020 --> 00:15:49.020]  整数类型这些的类型上去做不同的处理策略
[00:15:49.020 --> 00:15:51.020]  比如说复点类的话
[00:15:51.020 --> 00:15:56.020]  那我们首先都是用这个相对的一个误差容线
[00:15:56.020 --> 00:16:01.020]  比如说我们是允许这个数据有一些微小的偏差的
[00:16:01.020 --> 00:16:04.020]  因为这跟我们的这个计算顺序什么的都有关
[00:16:04.020 --> 00:16:07.020]  那
[00:16:07.020 --> 00:16:09.020]  就是像这个比如说
[00:16:09.020 --> 00:16:11.020]  Foto16这个类型的话
[00:16:11.020 --> 00:16:14.020]  因为它本身的这个精度比较低
[00:16:14.020 --> 00:16:17.020]  所以它的误差呢我们会允许的稍大一些
[00:16:17.020 --> 00:16:19.020]  可以设置为千分之一的一个误差
[00:16:19.020 --> 00:16:23.020]  也就是我们数据的误差在小千分之一的话
[00:16:23.020 --> 00:16:29.020]  我们就可以去接受这个误差的一个范围
[00:16:29.020 --> 00:16:31.020]  那如果是BF16的话呢
[00:16:31.020 --> 00:16:33.020]  它这个的精度更低
[00:16:33.020 --> 00:16:35.020]  所以说这个情况下我们就建议呢
[00:16:35.020 --> 00:16:38.020]  先把它转成这个Flo32
[00:16:38.020 --> 00:16:39.020]  然后再去比较它的精度
[00:16:39.020 --> 00:16:41.020]  那这块的话
[00:16:41.020 --> 00:16:45.020]  我对于这个BF16的我们的在转换为之后
[00:16:45.020 --> 00:16:47.020]  转换完这个Flo32之后呢
[00:16:47.020 --> 00:16:53.020]  我们把它的这个对比精度也是设置为这个千分之一的一个状态
[00:16:54.020 --> 00:16:58.020]  然后那再往后我们的这个Flo32
[00:16:58.020 --> 00:16:59.020]  因为它的精度就比较高了
[00:16:59.020 --> 00:17:00.020]  所以说呢
[00:17:00.020 --> 00:17:03.020]  它的这个容差我们会设置的比较严格
[00:17:03.020 --> 00:17:06.020]  我们会把它设置为万分之一的一个状态
[00:17:06.020 --> 00:17:11.020]  然后这个就是我们的这个五点类型的这些比较
[00:17:11.020 --> 00:17:13.020]  那整数来说呢
[00:17:13.020 --> 00:17:16.020]  因为它的这个精度应该是完全相等的
[00:17:16.020 --> 00:17:20.020]  所以这块我们就不会用那种误差融线的方式去比较
[00:17:20.020 --> 00:17:23.020]  而是强行指定它们这两个数据必须要相等
[00:17:23.020 --> 00:17:26.020]  那波尔值的话呢
[00:17:26.020 --> 00:17:28.020]  因为我们在不同的设备间呢
[00:17:28.020 --> 00:17:30.020]  它的波尔值的表示可能会有差异
[00:17:30.020 --> 00:17:31.020]  所以说呢
[00:17:31.020 --> 00:17:32.020]  像前面几个精度对比
[00:17:32.020 --> 00:17:34.020]  我们都可以放到NPU上做
[00:17:34.020 --> 00:17:35.020]  但是波尔值的话
[00:17:35.020 --> 00:17:39.020]  我们最后还是放回到CPU上去比较
[00:17:39.020 --> 00:17:43.020]  让它用它那个标准的一个字节的方式来表达波尔值
[00:17:43.020 --> 00:17:46.020]  然后去做一个更精确的一个比对
[00:17:46.020 --> 00:17:52.020]  那这个就是我们在生动的Tracket用根据不同的数据类型
[00:17:52.020 --> 00:17:55.020]  要去做不同的这个精度对比的一个策略
[00:17:55.020 --> 00:17:58.020]  对
[00:17:58.020 --> 00:18:00.020]  那这里呢
[00:18:00.020 --> 00:18:03.020]  接下来会有一个这个互动的答题环节
[00:18:03.020 --> 00:18:07.020]  大家可以在这个圣灯社区的直播间来答题
[00:18:07.020 --> 00:18:10.020]  第一个回答正确的可以领取奖品
[00:18:10.020 --> 00:18:11.020]  接下来就是第一道题
[00:18:11.020 --> 00:18:12.020]  接下来就是第一道题
[00:18:12.020 --> 00:18:14.020]  就是我们这个StaticPrint
[00:18:14.020 --> 00:18:16.020]  它打印动态变量的时候
[00:18:16.020 --> 00:18:18.020]  会发生什么情况
[00:18:18.020 --> 00:18:20.020]  A是编译崩溃
[00:18:20.020 --> 00:18:21.020]  B是打印数据类型
[00:18:21.020 --> 00:18:23.020]  C是打印变量值
[00:18:23.020 --> 00:18:26.020]  大家可以在三个里边选一下
[00:18:26.020 --> 00:18:29.020]  第一个回答正确的可以领取奖品
[00:18:29.020 --> 00:18:54.020]  给大家点时间哈
[00:18:54.020 --> 00:19:04.020]  这边的获奖ID是
[00:19:04.020 --> 00:19:14.020]  UserLiuYuJrb
[00:19:14.020 --> 00:19:17.020]  这位同学可以这个扫描我们的屏幕上的二维码
[00:19:17.020 --> 00:19:21.020]  然后添加声通小助手来领取奖品
[00:19:21.020 --> 00:19:36.020]  好那接下来我们进入这个下一个章节
[00:19:36.020 --> 00:19:38.020]  就是我们这个TradenSense的这个性能测试
[00:19:38.020 --> 00:19:41.020]  我们用来做这个Traden的性能测试呢
[00:19:41.020 --> 00:19:45.020]  其实用的工具就是我们这个TradenSense的这个性能测试
[00:19:45.020 --> 00:19:51.020]  那这个工具的使用教程和这个结果的这个这个结果数据解冻呢
[00:19:51.020 --> 00:19:53.020]  大家可以在我们的生能官网上找到文档
[00:19:53.020 --> 00:19:57.020]  然后这里呢我们就可以点开我们的生能社区
[00:19:57.020 --> 00:19:59.020]  然后查询里边的这个社区办文档
[00:19:59.020 --> 00:20:02.020]  在这里面记得要选中我们的这个我们当天使用的这个CANN的版本
[00:20:02.020 --> 00:20:06.020]  然后这里呢我们就可以点开我们的生能社区
[00:20:06.020 --> 00:20:09.020]  然后查询里边的这个社区办文档
[00:20:09.020 --> 00:20:15.020]  在这里面记得要选中我们的这个我们当天使用的这个CANN的版本
[00:20:15.020 --> 00:20:18.020]  那这里边选择我们这个性能调用工具
[00:20:18.020 --> 00:20:23.020]  然后在里边就可以CANN到这个Authanas PyTorch Profiler的这块文档
[00:20:23.020 --> 00:20:31.020]  那它这个用法呢其实还是给大家过一遍它的这个重点的这些API和参数
