
[00:00:00.000 --> 00:00:08.680]  今天呢我主要是给大家介绍一下这个Triton这个语言是怎么在升能上开发的
[00:02:52.520 --> 00:02:54.940]  我说这个性能挖掘潜力比较低
[00:02:54.940 --> 00:03:02.980]  这个情况下我们就不需要用这个像古代霍尔森C去搞这种中常委算子
[00:03:02.980 --> 00:03:05.820]  然后但这个算子我们就必须得
[00:03:05.820 --> 00:03:08.120]  我们说的性能也不能太差
[00:03:08.120 --> 00:03:08.980]  也得写好
[00:03:08.980 --> 00:03:10.300]  因为它对功能又很重要
[00:03:10.300 --> 00:03:15.240]  然后还有就是说这个我们这种刚入行的新人
[00:03:15.240 --> 00:03:20.300]  比如说这个或者说学生这种对硬件熟悉度不是很高的
[00:03:20.300 --> 00:03:25.220]  这个情况下呢如果他们使用这个古代霍尔森C
[00:03:25.220 --> 00:03:28.720]  是很难把这个极致性能代码写出来的
[00:03:28.720 --> 00:03:32.220]  然后所以这个时候他们如果从入门的角度来CANN
[00:03:32.220 --> 00:03:35.320]  也刚才说的这种高效开发这种变成框架
[00:03:35.320 --> 00:03:42.160]  然后极致性能也有这个就是属于极致性能这种必要的场景
[00:03:42.160 --> 00:03:43.900]  比如说用基础库的开发维护
[00:03:43.900 --> 00:03:48.500]  那这些库的算子呢就是需要就是被使用的很多
[00:03:48.500 --> 00:03:49.920]  而且调用的非常频繁
[00:03:49.920 --> 00:03:52.620]  然后对这个模型的正义性能一样很明显
[00:03:52.620 --> 00:03:59.960]  那这个时候就适合用这个就是能控制硬件这种底层的编程方式
[00:03:59.960 --> 00:04:01.420]  去优化这个性能
[00:04:01.420 --> 00:04:05.840]  然后要么就是说这个算子它现在是这个模型的一个性能瓶颈
[00:04:05.840 --> 00:04:08.180]  需要对它做一个关键性能突破
[00:04:08.180 --> 00:04:14.280]  然后还有就是说本身这个应用场景就是需要这个超低延迟
[00:04:14.280 --> 00:04:16.060]  比如说这个自动驾驶这种
[00:04:16.060 --> 00:04:17.580]  它性能就是最高需求
[00:04:17.580 --> 00:04:21.700]  那就得用这个布达去写
[00:04:21.700 --> 00:04:22.880]  或者说尔森的C去写
[00:04:22.880 --> 00:04:29.420]  然后就是像这个对这个硬件的根据硬件特性
[00:04:29.420 --> 00:04:33.500]  去做这个开发的在这方面经验比较丰富的开发者
[00:04:33.500 --> 00:04:36.300]  那他们自己呢有这个通读的经验
[00:04:36.300 --> 00:04:38.280]  还有能力去支撑他们给开发实现
[00:04:38.280 --> 00:04:41.660]  然后而且他们能做到比如说硬件的更新来说
[00:04:41.660 --> 00:04:44.800]  他们能及时跟进这个硬件特性的更新
[00:04:44.800 --> 00:04:53.000]  来优化自己的算子那像这一类的开发者和对应的场景就说用这个移植性能的这个编程模式
[00:04:53.000 --> 00:04:56.640]  而且本身这两个这个编程框架也是可以搭配使用的
[00:04:56.640 --> 00:05:02.920]  比如说我们可以先用这个高效开发的这种编程模式呢先快速地把我们这个创新这个圆形打动
[00:05:02.920 --> 00:05:06.720]  把我们这个创新这个圆形打动然后把这个模型算子给做出来
[00:05:06.720 --> 00:05:09.120]  来享受到这个开发效率的红利
[00:05:09.120 --> 00:05:12.960]  然后我们再识别这个模型里的这个算子性能表现
[00:05:12.960 --> 00:05:16.760]  然后把里面的一个关键的热点算子或者说性能
[00:05:16.760 --> 00:05:22.480]  明显不好的算子让我们再用第二种编程方式去把它这个性能压榨出来
[00:05:22.480 --> 00:05:28.520]  那像第二种其实就是本身也比较多嘛
[00:05:28.520 --> 00:05:30.160]  其实就是库大根3C的这个定位
[00:05:30.160 --> 00:05:35.920]  然后那一的话就是最近几年相对来说变成了就是这个Triton
[00:05:35.920 --> 00:05:39.160]  就火了
[00:05:39.160 --> 00:05:43.640]  然后呢我们再介绍一下这个Triton是啥
[00:05:43.640 --> 00:05:47.000]  Triton它呢就是它这个编程框架
[00:05:47.000 --> 00:05:49.840]  其实就是高效开发的这个编程语言
[00:05:49.840 --> 00:05:52.240]  还有这个编器的一个综合体
[00:05:52.240 --> 00:05:54.920]  也说呢在用户开发上呢
[00:05:54.920 --> 00:05:58.440]  它提供了这个算子表达的这个接口
[00:05:58.440 --> 00:06:01.960]  然后呢又提供了下边这个MR的这个编器实现
[00:06:01.960 --> 00:06:08.960]  然后因为就是呃后边的这个编器的部分呢
[00:06:08.960 --> 00:06:13.560]  相当于说代替用户去做了很多对硬件细节的控制
[00:06:13.560 --> 00:06:19.400]  所以说就相当于简化了用户对于这个编写的一些细节
[00:06:19.400 --> 00:06:22.440]  然后所以说它们可以做到更高的这个编程效率
[00:06:22.440 --> 00:06:26.880]  然后一开始呢其实是一个哈佛大学学生的论文
[00:06:26.880 --> 00:06:28.800]  然后跟OpenAI联合开发的
[00:06:28.800 --> 00:06:35.800]  然后我们也就是一开始就是想做一个坚固高性能高用的这个编程模型来降低GPU
[00:06:35.800 --> 00:06:43.280]  然后呢这个呢它的前端接口呢实际上是和应件没有强保定关系的
[00:06:43.280 --> 00:06:47.160]  所以说是一种应件无关的算的高效开发的一个方式
[00:06:47.160 --> 00:06:50.760]  可以越过Cuda现有的这个必源生态
[00:06:50.760 --> 00:06:54.920]  然后就是说它那条代码是可以在多种不同后端的新面上运行的
[00:06:54.920 --> 00:06:56.760]  也不需要做复杂的修改
[00:06:56.760 --> 00:07:04.360]  也就是也就是因为这个原因呢这个Triton它其实跟Python是联合的比较深入
[00:07:04.360 --> 00:07:05.960]  因为它两边的这个
[00:07:05.960 --> 00:07:07.640]  可以说这个这个
[00:07:07.640 --> 00:07:09.240]  嗯
[00:07:09.240 --> 00:07:11.200]  利益是比较相似的
[00:07:11.200 --> 00:07:17.120]  然后而且它呢这个前端是一个就是基于Python的一个语法
[00:07:17.120 --> 00:07:21.520]  然后呢提供的是一种就是分块的就Tile级的一个编程模式
[00:07:21.520 --> 00:07:25.800]  给了这个更高的编程抽象去这个降低算的开发门槛
[00:07:25.800 --> 00:07:27.120]  提高这个开发效率
[00:07:27.120 --> 00:07:34.400]  然后整体来说就能做到它是一个编写更容易的一种这个编程框架
[00:07:34.400 --> 00:07:42.280]  啊然后就是说它这个在讲下的这个Tile级变成方式哈
[00:07:42.280 --> 00:07:46.360]  就像本身我们在写程序的时候
[00:07:46.360 --> 00:07:49.960]  它对一个算子就是有不同的这个抽象程度
[00:07:49.960 --> 00:07:55.760]  比如说我们最简单的话就纯达Python去写这个计算逻辑
[00:07:55.760 --> 00:08:00.960]  那就是一个整个完完整整的Tensor我们去直接写计算
[00:08:00.960 --> 00:08:03.200]  这叫GradeLevel这种
[00:08:03.200 --> 00:08:07.600]  然后呢Python呢就是比它往下降了一层出现了
[00:08:07.600 --> 00:08:11.080]  就是说你可以去控制这个
[00:08:11.080 --> 00:08:15.800]  嗯这个这个数据的这个分块
[00:08:15.800 --> 00:08:19.040]  还有说这个每个块数据的这个读写和计算
[00:08:19.040 --> 00:08:23.200]  比如说增加了一些工作和这个控制力
[00:08:23.200 --> 00:08:26.400]  然后但是呢又能收获这个明显的性能提升
[00:08:26.400 --> 00:08:36.280]  所以相当于说是一种这个在这个效率和这个性能能达到一个相对平衡的一个级别
[00:08:36.280 --> 00:08:40.680]  然后再往下呢就是有线程级比如说像古代这种
[00:08:40.680 --> 00:08:45.560]  就是明明白白去让用户去做这个底层优化
[00:08:45.560 --> 00:08:49.880]  包括说这个呃这个这个呃内存合并啊
[00:08:49.880 --> 00:08:53.480]  或者说这个share memory的这个管理分配
[00:08:53.480 --> 00:08:58.160]  然后还有说这个这个片上还有片肩的这种调度
[00:08:58.160 --> 00:09:04.000]  然后这种编程模式相当于说我们本身写的这个代码长度也会更长
[00:09:04.000 --> 00:09:08.720]  然后这个呃难度也更大
[00:09:08.720 --> 00:09:14.280]  然后所以说从左套的这个关系来说就是相当于说越靠左边的方式呢
[00:09:14.280 --> 00:09:17.120]  用户的控制越少
[00:09:17.120 --> 00:09:21.880]  反而是更多的这个对于硬件的控制需要给编辑器去自动去做
[00:09:21.880 --> 00:09:27.120]  然后越往后越往右的其实就是说就是编辑器需要做的事越少
[00:09:27.120 --> 00:09:33.640]  因为用户都已经就是很明确的就是说了他要对硬件去做什么样的处理
[00:09:33.640 --> 00:09:40.280]  然后所以说pattern的话他就是中间的这层抽象的表达
[00:09:40.280 --> 00:09:44.560]  然后这是从那个pattern大会上给过一个图啊
[00:09:44.560 --> 00:09:49.200]  其实这个就是能嗯现在说明确表达这几种编程方式一个区别
[00:09:49.200 --> 00:09:55.040]  就从train的话你CANN我们可以需要一个很短的这个开发时间
[00:09:55.040 --> 00:09:59.560]  就能达到一个相对很高的一个一个性能
[00:09:59.560 --> 00:10:01.560]  但是图达呢我们最后可以拿到很高性能
[00:10:01.560 --> 00:10:07.400]  但是就是我们会需要拿更长的开发周期来让我们达到这个位置
[00:10:07.400 --> 00:10:13.920]  然后我问一下这grade level指的是啥
[00:10:13.920 --> 00:10:16.920]  你可以列为整块数据完整去算
[00:10:16.920 --> 00:10:23.440]  就是我比如说就就派到是我生命一块tensor然后直接拿它去加减乘除这样的
[00:10:23.440 --> 00:10:24.920]  这就Grid
[00:10:24.920 --> 00:10:27.960]  好的
[00:10:27.960 --> 00:10:29.960]  谢谢
[00:10:29.960 --> 00:10:31.960]  然后这就是这个机种
[00:10:31.960 --> 00:10:33.960]  但是SaaS就更底层了
[00:10:33.960 --> 00:10:35.760]  所以说因为它更底层
[00:10:35.760 --> 00:10:36.800]  所以它也是更难
[00:10:36.800 --> 00:10:37.960]  但是极致性能更高
[00:10:37.960 --> 00:10:40.960]  然后基本上就是你越底层
[00:10:40.960 --> 00:10:41.960]  你性能越好
[00:10:41.960 --> 00:10:42.960]  但是难度越大
[00:10:42.960 --> 00:10:45.480]  也就需要你用户有更多的经验
[00:10:45.480 --> 00:10:49.480]  还有更长的开发时间来达到这个效果
[00:10:49.480 --> 00:10:50.480]  一鹏我问一下
[00:10:50.480 --> 00:10:54.480]  你这里有一个grade level还有一个teller level是吧
[00:10:54.480 --> 00:10:59.360]  这个teller level和C++里面那个多现成那个有什么区别吗
[00:10:59.360 --> 00:11:05.760]  这个teller level其实是不太管线程的吧
[00:11:05.760 --> 00:11:07.560]  就是SPMD嘛
[00:11:07.560 --> 00:11:13.880]  它的话里边的话其实还是一个个小的tensor
[00:11:13.880 --> 00:11:19.280]  然后相当于说是只说对原先的tensor做一个切块
[00:11:19.280 --> 00:11:22.480]  然后但是还是直接拿这个tensor直接去算
[00:11:22.480 --> 00:11:28.680]  然后跟本身就是C++多现成还是
[00:11:29.360 --> 00:11:30.680]  也还是有点区别
[00:11:30.680 --> 00:11:37.160]  C++多现成其实围解很多时候也需要我们去手动分配一些空间的吧
[00:11:37.160 --> 00:11:39.160]  但是在这块的话
[00:11:39.160 --> 00:11:42.120]  其实说它只是多了这个数据切块的
[00:11:42.120 --> 00:11:44.240]  还有这个load store
[00:11:44.240 --> 00:11:48.200]  其他的就是还是都是一个不用管的状态
[00:11:48.200 --> 00:11:53.760]  你C++其实它本质上也会做一些切分吗
[00:11:53.760 --> 00:11:56.360]  因为它要线程避嫌的话肯定是要数据结偶嘛
[00:11:56.360 --> 00:12:00.680]  所以我没太理解它这里面是不是
[00:12:00.680 --> 00:12:04.160]  因为我猜的它是不是等价一种概念
[00:12:04.160 --> 00:12:11.840]  因为我CANN你右边有一个箭头指的是那个线程级别的那个level
[00:12:11.840 --> 00:12:14.800]  对最右边是线程级的
[00:12:14.800 --> 00:12:16.160]  这个就是最细腻度了
[00:12:16.160 --> 00:12:18.560]  那相当于是有三个层级是吧
[00:12:18.560 --> 00:12:19.200]  第一个是grade
[00:12:19.200 --> 00:12:20.160]  第二个是teller
[00:12:20.160 --> 00:12:21.760]  然后第三个是thread是吧
[00:12:21.760 --> 00:12:24.680]  对其实cuda就相当于说是这种
[00:12:24.680 --> 00:12:27.520]  就是如果你明确控制每个线程做什么
[00:12:27.520 --> 00:12:30.400]  那就是threadlevel了
[00:12:30.400 --> 00:12:32.440]  但是其实到thread的话
[00:12:32.440 --> 00:12:34.080]  当然这个主要是面向gpu来说的
[00:12:34.080 --> 00:12:36.960]  thread的话其实就是说你对
[00:12:36.960 --> 00:12:39.360]  比如说你把这个数据划给某个sm
[00:12:39.360 --> 00:12:43.000]  然后但它里边线程需要怎么做
[00:12:43.000 --> 00:12:43.920]  其实完全不用管
[00:12:43.920 --> 00:12:49.200]  也就是说这个level是不碰到线程的
[00:12:49.200 --> 00:12:57.320]  也就现在就是tellerlevel里面可能会包含多个threadlevel是吧
[00:12:57.320 --> 00:13:01.360]  因为它不用区分具体是哪一个线程力度的一个东西
[00:13:01.360 --> 00:13:04.120]  它可能在线程级别更上层是吧
[00:13:04.120 --> 00:13:05.440]  对对在线程的更上层
[00:13:05.440 --> 00:13:09.960]  其实到里边线程的控制就是线程上的细节就是让编辑器去做了
[00:13:09.960 --> 00:13:15.360]  有的用户来说就不可见了
[00:13:15.360 --> 00:13:20.080]  那这个和咱们现在snc的telling那一套是一样的吗
[00:13:20.080 --> 00:13:24.200]  snc写算子是不有telling机制吗
[00:13:24.200 --> 00:13:25.880]  这两个是啥区别
[00:13:25.880 --> 00:13:34.000]  snc我记得有telling机制
[00:13:34.000 --> 00:13:42.000]  但是snc的编写还是需要我们去控制像那种红布啊一类的这种操作
[00:13:42.000 --> 00:13:43.840]  如果数据分块来说我们都是分块
[00:13:43.840 --> 00:13:46.000]  确实是分块来做
[00:13:46.000 --> 00:13:49.880]  但是这个telling level其实它想重点就是说你除了分块
[00:13:49.880 --> 00:13:52.120]  别的还是不用做的一个状态
[00:13:52.120 --> 00:13:58.600]  然后而不是说数据我分块的时候还是对分块之后要做很多的处理
[00:14:01.600 --> 00:14:06.680]  snc其实它是有这比如说我去给数据做完分块然后计算
[00:14:06.680 --> 00:14:15.760]  但是我们调性的话其实还是需要就是再给很多就是基础EPI去提供的这个控制能力
[00:14:16.000 --> 00:14:21.160]  但他这个telling level其实就是说意思就是除了分块别的不用管
[00:14:21.160 --> 00:14:25.040]  Camp都交给下层编写去做了是吧
[00:14:25.040 --> 00:14:26.560]  他现在是做了一层封砖是吧
[00:14:26.560 --> 00:14:28.840]  就不需要开发者去关注是吧
[00:14:28.840 --> 00:14:29.640]  对对对
[00:14:29.640 --> 00:14:32.440]  OK
[00:14:32.440 --> 00:14:38.800]  然后呢
[00:14:38.800 --> 00:14:41.200]  在升层上支持这个
[00:14:41.200 --> 00:14:45.240]  iton的话其实就是靠的是这两个组件
[00:14:46.000 --> 00:14:48.040]  一个telling level就是telling level
[00:14:49.840 --> 00:14:52.360]  telling level它提供的主要就是一个后端
[00:14:53.240 --> 00:14:53.720]  然后呢
[00:14:53.720 --> 00:14:56.160]  它继承了这个基本上继承吧
[00:14:56.160 --> 00:14:59.240]  就兼容了这个社区的这个autotune啊
[00:14:59.240 --> 00:15:00.680]  还有这个git编译
[00:15:00.680 --> 00:15:02.160]  还有这个runtime能力
[00:15:02.160 --> 00:15:03.360]  但需要我们自己去给一套
[00:15:04.520 --> 00:15:05.040]  然后呢
[00:15:05.040 --> 00:15:07.160]  它给的是还有一个重点
[00:15:07.160 --> 00:15:08.520]  就是它有一个telling adapter
[00:15:08.520 --> 00:15:12.040]  这份内容其实是跟我们可以对着前面这个图来讲
[00:15:13.480 --> 00:15:16.520]  就本身这个telling它自己的流程哈
[00:15:16.520 --> 00:15:19.640]  它自己是其实也是一个基于mr的生态
[00:15:19.640 --> 00:15:21.840]  它的前端会先翻译成telling l
[00:15:21.840 --> 00:15:23.880]  从这开始就已经是mr的阶段了
[00:15:23.880 --> 00:15:24.720]  然后呢
[00:15:24.720 --> 00:15:25.200]  再往下
[00:15:25.200 --> 00:15:26.480]  或者是一个telling gpu
[00:15:26.480 --> 00:15:28.200]  然后再往下就是
[00:15:28.200 --> 00:15:33.200]  有不同的这个后端各自的一个优化的r
[00:15:33.200 --> 00:15:34.680]  还有它里边对应的pass
[00:15:34.680 --> 00:15:38.480]  那就我们生存这个路线来说呢
[00:15:38.480 --> 00:15:39.800]  就是我们在telling l之后
[00:15:39.800 --> 00:15:42.480]  你们是把它变成这个telling lg
[00:15:42.480 --> 00:15:43.280]  就是一个社
[00:15:43.280 --> 00:15:46.000]  就是mr公开社区的一层r
[00:15:46.000 --> 00:15:46.800]  然后呢
[00:15:46.800 --> 00:15:49.240]  当然有些附加的信息在里边
[00:15:49.240 --> 00:15:51.720]  然后我们从这层直接就转到了
[00:15:51.720 --> 00:15:53.560]  就是我们CANN里边
[00:15:53.560 --> 00:15:56.280]  就编译器里边的这个asin npy
[00:15:56.280 --> 00:15:58.960]  然后从这一步往下
[00:15:58.960 --> 00:16:01.960]  就是B生编译器提供的这个测验优化能力
[00:16:01.960 --> 00:16:04.720]  最后给编出一个昇腾的二进制
[00:16:04.720 --> 00:16:08.840]  然后TritonW它做的就是说
[00:16:08.840 --> 00:16:16.760]  从这个DSL就语言前端一直到这个lineage那一段的转换
[00:16:16.760 --> 00:16:22.920]  就是在这一段会做一些跟后端就是没有关联的这种优化
[00:16:22.920 --> 00:16:25.080]  比如说这个仿存的优化
[00:16:25.080 --> 00:16:27.160]  然后比如说离散仿存
[00:16:27.160 --> 00:16:29.120]  非线性仿存的这些这个调整
[00:16:29.120 --> 00:16:31.920]  还有就是说本身的这个r往下的转换能力
[00:16:31.920 --> 00:16:38.400]  然后往后呢
[00:16:38.400 --> 00:16:41.360]  就是它是因为编系里边本身优化的这个系统更成熟嘛
[00:16:41.360 --> 00:16:44.240]  所以它会有现在说有中端和后端
[00:16:44.240 --> 00:16:46.160]  然后先做一部分硬件物当地优化
[00:16:46.160 --> 00:16:49.400]  然后再往后是也在m这块啊
[00:16:49.400 --> 00:16:53.200]  其实在中央这块也就开始有了就针对硬件的优化
[00:16:53.200 --> 00:16:57.440]  然后它在中央这段还都是就是mr的阶段
[00:16:57.440 --> 00:16:59.840]  在里边我们会做这个mig算的支持
[00:16:59.840 --> 00:17:05.480]  比如说用户它一个kernel里写了这个cube和vector的一个操作
[00:17:07.640 --> 00:17:12.840]  然后这段smr里边就会给它这个自动的把它这个分开
[00:17:12.840 --> 00:17:14.680]  然后做这个核件的这个同步
[00:17:14.680 --> 00:17:17.080]  然后还有说内存分配
[00:17:17.080 --> 00:17:20.280]  然后更往下的lvmg的那个代码生成
[00:17:20.280 --> 00:17:22.120]  然后其实还有同步流水操作
[00:17:22.120 --> 00:17:23.920]  其实全在这一部分里就做了
[00:17:23.920 --> 00:17:27.120]  比如说这一部分用户就是不消管了
[00:17:27.120 --> 00:17:30.060]  它就分块写计算
[00:17:30.060 --> 00:17:32.000]  然后就没了
[00:17:32.000 --> 00:17:32.600]  然后后边呢
[00:17:32.600 --> 00:17:34.400]  它这个traten这个
[00:17:34.400 --> 00:17:36.560]  这块也是traten算的里边的东西
[00:17:36.560 --> 00:17:40.800]  然后它呢就是给提供了这个g的编译的能力
[00:17:40.800 --> 00:17:44.480]  现在说我不需要比如说用算的工程
[00:17:44.480 --> 00:17:46.480]  给这个算子然后编成cube
[00:17:46.480 --> 00:17:47.760]  然后再去用
[00:17:47.760 --> 00:17:51.640]  然后它就是一个我我直接一个脚本里
[00:17:51.640 --> 00:17:56.440]  直接就可以掉写在里边的这个函数
[00:17:56.440 --> 00:17:59.040]  然后呢包括它是怎么把这个
[00:17:59.040 --> 00:18:02.840]  这个二斤纸去发射到这个硬件上去运行
[00:18:02.840 --> 00:18:04.480]  然后再返回结果的
[00:18:04.480 --> 00:18:07.160]  这部分这个runtime其实也在这里边
[00:18:09.160 --> 00:18:12.520]  然后这个是一个整体的一个层级
[00:18:12.520 --> 00:18:15.520]  然后呢tratenw其实就像这块里说的
[00:18:15.520 --> 00:18:18.160]  就是它就是把这个tratenr
[00:18:18.160 --> 00:18:22.160]  然后给翻译到这类社区上的IR
[00:18:22.160 --> 00:18:23.920]  然后呢在这部分同事里
[00:18:23.920 --> 00:18:25.760]  它自己其实也会做一些优化
[00:18:25.760 --> 00:18:32.160]  因为mr的优势就是说它是一个非单一层的一层中间表达
[00:18:32.160 --> 00:18:36.480]  它是同时涵盖高层抽象的表达和低层抽象表达的
[00:18:36.480 --> 00:18:41.040]  所以在这一部分呢它可以做很多tensor级的优化在这里边
[00:18:41.040 --> 00:18:47.440]  然后呢相对说你像traten的这个前端的这些接口
[00:18:47.440 --> 00:18:51.200]  都是就是本身啊在社区里原生的这个态度里边
[00:18:51.200 --> 00:18:53.840]  它就需要转成tratenr这个阶段
[00:18:53.840 --> 00:18:57.120]  然后呢tratenr呢就会把这部分再转成linearjr
[00:18:57.120 --> 00:19:00.240]  然后这些东西后边就可以由编辑
[00:19:00.240 --> 00:19:02.240]  再进到这个snapu-ir里边
[00:19:02.240 --> 00:19:12.160]  然后snapu-ir呢就是它会给这个代码里边去补上用户没有写的那些底层的控制
[00:19:12.160 --> 00:19:16.560]  然后呢它呢本身是分了两个方言
[00:19:16.560 --> 00:19:18.960]  其实mr本身就是由一堆方言组成的嘛
[00:19:18.960 --> 00:19:23.760]  然后呢snapu-ir现在是提高了一个高出向方言和低出向方言
[00:19:23.760 --> 00:19:27.760]  高出向方言的话就是其实就是跟linear的方言是一个补充
[00:19:27.760 --> 00:19:33.360]  然后它的优势就是说一个是里边的它是sc的这个类型
[00:19:33.360 --> 00:19:37.760]  就是说是一定是一个值不会被一个变量不会被多次复值
[00:19:37.760 --> 00:19:42.080]  然后在一些这个这个使用者分析上来说更好做
[00:19:42.080 --> 00:19:48.080]  而且说它是一个在这个阶段也是不涉及到内存的一个情况
[00:19:48.080 --> 00:19:54.080]  然后这样的话它对于这个上层的语言框架对接起来更容易
[00:19:54.080 --> 00:20:03.280]  然后呢highvm这层呢就是这层方言就是有对硬件的资源有更完备的表达
[00:20:03.280 --> 00:20:07.280]  所以说在这一部分里呢就会自动去做这个内存的推导
[00:20:07.280 --> 00:20:10.560]  然后并行的优化流水同步还有内存分配
[00:20:12.000 --> 00:20:18.000]  然后它就把这个计算同步办理操作还有这个平常内存同步管理
[00:20:18.000 --> 00:20:20.000]  还有这个cv的这个混合架构全都抽象出来
[00:20:20.000 --> 00:20:26.000]  然后像这就是现在说是vacad翻译到这部分之后结的一段
[00:20:26.000 --> 00:20:28.000]  然后这一部分就是用户的话
[00:20:28.000 --> 00:20:30.000]  用户他就写了一个load store
[00:20:30.000 --> 00:20:38.000]  但是在这儿呢我们就给它标出比如说这个除了本身的这个内存班以外
[00:20:38.000 --> 00:20:40.000]  还有说我这个数据属于哪个地址空间
[00:20:40.000 --> 00:20:42.000]  然后呢中间这个流水命令
[00:20:42.000 --> 00:20:46.000]  还有说我这个内存记址现在因为它分配完了就变成一个绝对值
[00:20:46.000 --> 00:20:54.000]  像这部分信息就是编译器就在这个阶段会给插进去
[00:20:54.000 --> 00:20:56.000]  然后再往后就是lvm里
[00:20:56.000 --> 00:21:00.000]  本来就是闭上边器做了很久嘛
[00:21:00.000 --> 00:21:05.000]  本身lvm阶段就有很多这个这个这个这个对代码的优化
[00:21:05.000 --> 00:21:08.000]  然后再往下就是也就属于正常流程了
[00:21:08.000 --> 00:21:11.000]  那也就是说靠这两个组架
[00:21:11.000 --> 00:21:15.000]  然后就可以支持这个iton的前端
[00:21:15.000 --> 00:21:18.000]  来最后在我们升层上去做运行
[00:21:20.000 --> 00:21:22.000]  然后环境安装这块呢
[00:21:22.000 --> 00:21:26.000]  就当然大家肯定很多人也体验过了
[00:21:26.000 --> 00:21:32.000]  现在就是开源仓里给的一种是这个圆码安装
[00:21:32.000 --> 00:21:36.000]  但是这个安装呢确实很复杂
[00:21:36.000 --> 00:21:40.000]  嗯可以大家来一盆一盆
[00:21:40.000 --> 00:21:42.000]  一盆那个我那个我来评
[00:21:42.000 --> 00:21:43.000]  我我我把这个打包到一个镜像
[00:21:43.000 --> 00:21:45.000]  然后发发待会可以发群里面
[00:21:45.000 --> 00:21:47.000]  然后大家可以体验一下好吧
[00:21:47.000 --> 00:21:48.000]  嗯好
[00:21:48.000 --> 00:21:53.000]  对反正这个圆码安装就是对正常开发者来说
[00:21:53.000 --> 00:21:55.000]  其实你确实也用不到
